	director	duration_min	rating	vote_count	year	main_actors	name_rus	name_eng
338	Джулиан Фарино	90	6.185	6167	2012	['Хью Лори', 'Лейтон Мистер']	Любовный переплет	The Oranges
339	Нима Нуризаде	96	6.176	55453	2015	['Джесси Айзенберг', 'Кристен Стюарт']	Ультраамериканцы	American Ultra
340	Нил Джордан	118	6.1739999999999995	12589	2012	['Сирша Ронан', 'Джемма Артертон']	Византия	Byzantium
341	Даг Лайман	81	6.1739999999999995	1499	2017	['Аарон Тейлор-Джонсон', 'Джон Сина']	Стена	The Wall
342	Дэвид Гордон Грин	107	6.169	2062	2015	['Сандра Буллок', 'Билли Боб Торнтон']	Наш бренд – кризис	Our Brand Is Crisis
343	Скотт Дерриксон	118	6.162000000000001	34929	2014	['Шон Харрис', 'Эрик Бана']	Избави нас от лукавого	Deliver Us from Evil
344	Эрен Криви	100	6.159	9698	2012	['Джеймс МакЭвой', 'Марк Стронг']	Добро пожаловать в капкан	Welcome to the Punch
345	Руперт Уайатт	111	6.155	20910	2014	['Марк Уолберг', 'Джон Гудман']	Игрок	The Gambler
346	Майк Флэнеган	81	6.153	5646	2016	['Кейт Сигел', 'Джон Галлахер мл.']	Тишина	Hush
347	Дженнифер Уэстфелд	107	6.152	11087	2012	['Адам Скотт', 'Дженнифер Уэстфелд']	Дети сексу не помеха	Friends with Kids
348	Дэвид Роберт Митчелл	100	6.151	29500	2014	['Майка Монро', 'Кейр Гилкрист']	Оно	It Follows
349	Дэвид Ф. Сандберг	109	6.15	13131	2017	['Энтони ЛаПалья', 'Самара Ли']	Проклятие Аннабель: Зарождение зла	Annabelle: Creation
350	Даниэль Альфредсон	95	6.146	6006	2014	['Джим Стёрджесс', 'Сэм Уортингтон']	Похищение Фредди Хайнекена	Kidnapping Mr. Heineken
351	Шон Андерс	108	6.145	39474	2014	['Джейсон Бейтман', 'Джейсон Судейкис']	Несносные боссы 2	Horrible Bosses 2
352	Сюзанна Бир	109	6.143	19559	2014	['Дженнифер Лоуренс', 'Брэдли Купер']	Серена	Serena
353	Джереми Левин	101	6.143	609	2013	['Нора Чирнер', 'Винченцо Амато']	Девочка на велосипеде	Girl on a Bicycle
354	Фил Олден Робинсон	83	6.14	11880	2014	['Робин Уильямс', 'Мила Кунис']	Этим утром в Нью-Йорке	The Angriest Man in Brooklyn
355	Дэвид Мишо	103	6.14	10027	2013	['Гай Пирс', 'Роберт Паттинсон']	Ровер	The Rover
356	Мариэль Хеллер	102	6.138999999999999	4113	2015	['Бел Паули', 'Уилли']	Дневник девочки-подростка	The Diary of a Teenage Girl
357	Кристофер Нил	94	6.135	1400	2012	['Дэвид Духовны', 'Вера Фармига']	Козы	Goats
358	Рюхэй Китамура	86	6.1339999999999995	17956	2012	['Люк Эванс', 'Эделейд Клеменс']	Никто не выжил	No One Lives
359	Джон Лукас	100	6.132999999999999	23176	2016	['Мила Кунис', 'Кэтрин Хан']	Очень плохие мамочки	Bad Moms
360	Алан Польски	85	6.132999999999999	593	2012	['Гаррет Бэкстром', 'Эндрю Ли']	Жизнь в мотеле	The Motel Life
361	Роберт Редфорд	121	6.132000000000001	4385	2012	['Роберт Редфорд', 'Шайа ЛаБаф']	Грязные игры	The Company You Keep
362	Джозеф Гордон-Левитт	90	6.127000000000001	46745	2013	['Джозеф Гордон-Левитт', 'Скарлетт Йоханссон']	Страсти Дон Жуана	Don Jon
363	Пабло Ларраин	100	6.127000000000001	10709	2016	['Натали Портман', 'Питер Сарсгаард']	Джеки	Jackie
364	Барри Дженкинс	110	6.124	23270	2016	['Алекс Р. Хибберт', 'Эштон Сандерс']	Лунный свет	Moonlight
365	Адам Вингард	94	6.124	14869	2013	['Шарни Винсон', 'Николас Туччи']	Тебе конец!	You're Next
366	Даниэль Рагуссис	109	6.122000000000001	14103	2016	['Дэниэл Рэдклифф', 'Тони Коллетт']	Абсолютная власть	Imperium
367	Стюарт Блумберг	112	6.119	3216	2012	['Марк Руффало', 'Тим Роббинс']	Спасибо за обмен	Thanks for Sharing
368	София Коппола	93	6.117000000000001	5428	2017	['Колин Фаррелл', 'Николь Кидман']	Роковое искушение	The Beguiled
369	Пол Лейден	90	6.117000000000001	2017	2014	['Кэти Уолдер', 'Джон Абрахамс']	Вернись ко мне	Come Back to Me
370	Николас Столлер	124	6.1160000000000005	16404	2012	['Джейсон Сигел', 'Эмили Блант']	Немножко женаты	The Five-Year Engagement
371	Даррен Стейн	93	6.1160000000000005	999	2013	['Майкл Дж. Виллетт', 'Пол Яконо']	Когда лучший друг – гей	G.B.F.
372	Николас Виндинг Рефн	118	6.109	34463	2016	['Эль Фаннинг', 'Карл Глусман']	Неоновый демон	The Neon Demon
373	Колм МакКарти	111	6.109	18765	2016	['Джемма Артертон', 'Доминик Типпер']	Новая эра Z	The Girl with All the Gifts
374	Мэтт Даффер	83	6.108	6845	2014	['Александр Скарсгард', 'Андреа Райзборо']	Затаившись	Hidden
375	Эрни Барбараш	93	6.103	2318	2012	['Жан-Клод Ван Дамм', 'Джо Флениган']	Шесть пуль	6 Bullets
376	Руперт Гулд	99	6.102	6258	2015	['Джона Хилл', 'Джеймс Франко']	Правдивая история	True Story
377	Филипп Волкен	108	6.102	1027	2017	['Эйон Бэйли', 'Бетани Джои Ленц']	Вымогательство	Extortion
378	Джей Роуч	85	6.098	14469	2012	['Уилл Феррелл', 'Зак Галифианакис']	Грязная кампания за честные выборы	The Campaign
379	Шон Андерс	116	6.095	37437	2012	['Адам Сэндлер', 'Энди Сэмберг']	Папа-досвидос	That's My Boy
380	Питер Богданович	93	6.095	13428	2014	['Оуэн Уилсон', 'Имоджен Путс']	Мисс Переполох	She's Funny That Way
381	Тодд Луисо	93	6.093999999999999	2155	2012	['Мелани Лински', 'Кристофер Эбботт']	Привет, мне пора	Hello I Must Be Going
382	Джон Хиллкоут	115	6.0920000000000005	20114	2016	['Чиветель Эджиофор', 'Кейси Аффлек']	Три девятки	Triple 9
383	Ребекка Миллер	98	6.087000000000001	2396	2015	['Грета Гервиг', 'Итан Хоук']	План Мэгги	Maggie's Plan
384	Гонсало Лопес-Гальего	102	6.086	5486	2013	['Шарлто Копли', 'Томас Кречман']	Открытая могила	Open Grave
385	Киану Ривз	105	6.084	9000	2013	['Тайгер Чэнь', 'Киану Ривз']	Мастер тай-цзи	Man of Tai Chi
386	Фил Дорлинг	90	6.082999999999999	805	2012	['Джесси Айзенберг', 'Мелисса Лео']	Си-бемоль-кокос	Why Stop Now?
387	Джеффри Флетчер	85	6.077000000000001	5639	2012	['Сирша Ронан', 'Алексис Бледел']	Виолет и Дейзи	Violet & Daisy
388	Федерико Альварес	91	6.0760000000000005	30223	2013	['Джейн Леви', 'Шайло Фернандес']	Зловещие мертвецы: Черная книга	Evil Dead
389	Юэн МакГрегор	108	6.069	3370	2016	['Юэн МакГрегор', 'Дженнифер Коннелли']	Американская пастораль	American Pastoral
390	Джейсон Коннери	94	6.067	1303	2012	['Уэс Чэтэм', 'Девон Сава']	Боксер	The Philly Kid
391	Джастин Рирдон	94	6.065	4407	2014	['Крис Эванс', 'Мишель Монахэн']	Сердце вдребезги	Playing It Cool
392	Кэтрин Хардвик	99	6.065	1658	2012	['Эмили Браунинг', 'Завьер Сэмюэл']	Зажги меня	Plush
393	Наоми Фонер	91	6.064	5189	2013	['Дакота Фаннинг', 'Элизабет Олсен']	Очень хорошие девочки	Very Good Girls
394	Джеймс Грэй	120	6.062	4056	2013	['Марион Котийяр', 'Хоакин Феникс']	Роковая страсть	The Immigrant
395	Кевин Макдональд	110	6.061	12660	2014	['Джуд Лоу', 'Скут МакНэри']	Чёрное море	Black Sea
396	Жиль Паке-Бреннер	113	6.061	7172	2015	['Шарлиз Терон', 'Стерлинг Джеринс']	Темные тайны	Dark Places
397	Сет Роген	112	6.059	25113	2014	['Джеймс Франко', 'Сет Роген']	Интервью	The Interview
398	Дэн Мазер	102	6.058	40527	2015	['Роберт Де Ниро', 'Зак Эфрон']	Дедушка легкого поведения	Dirty Grandpa
399	Люк Моран	102	6.057	538	2014	['Люк Моран', 'Шон Эстин']	Парни из Абу-Грейб	Boys of Abu Ghraib
400	Терри Джонс	85	6.055	21184	2015	['Саймон Пегг', 'Кейт Бекинсейл']	Всё могу	Absolutely Anything
401	Брэд Фурман	88	6.053999999999999	32618	2013	['Джастин Тимберлейк', 'Бен Аффлек']	Va-банк	Runner Runner
402	Уолтер Хилл	92	6.053	16432	2012	['Сильвестр Сталлоне', 'Санг Кенг']	Неудержимый	Bullet to the Head
403	Керн Сэкстон	99	6.05	4043	2012	['Джеймс Дювал', 'Ноа Хэтэуэй']	Суши гёл	Sushi Girl
404	Тим Блейк Нельсон	90	6.046	783	2015	['Сэм Уотерстон', 'Кристен Стюарт']	Анестезия	Anesthesia
405	Крив Стендерс	90	6.044	3963	2014	['Саймон Пегг', 'Стив Ле Маркванд']	Убей меня трижды	Kill Me Three Times
406	Аллен Хьюз	109	6.04	10398	2012	['Марк Уолберг', 'Рассел Кроу']	Город порока	Broken City
407	Эндрю Никкол	103	6.04	2348	2014	['Итан Хоук', 'Брюс Гринвуд']	Хорошее убийство	Good Kill
408	Джадд Апатоу	134	6.039	14543	2012	['Лесли Манн', 'Пол Радд']	Любовь по-взрослому	This Is 40
409	Сет Роген	107	6.037000000000001	51758	2013	['Сет Роген', 'Джей Барушель']	Конец света 2013: Апокалипсис по-голливудски	This Is the End
410	Джейсон Кравчик	99	6.037000000000001	1333	2015	['Генри Роллинз', 'Бу Бу Стюарт']	Он никогда не умирал	He Never Died
411	Джонатан Собол	90	6.0329999999999995	2049	2013	['Курт Рассел', 'Джей Барушель']	Черные метки	The Art of the Steal
412	Антон Корбейн	111	6.026	2764	2015	['Дэйн ДеХаан', 'Роберт Паттинсон']	Лайф	Life
413	Крейг Зиск	92	6.002999999999999	3784	2012	['Джулианна Мур', 'Майкл Ангарано']	Учитель английского	The English Teacher
414	Энг Ли	113	6.001	2285	2016	['Джо Элвин', 'Кристен Стюарт']	Долгий путь Билли Линна в перерыве футбольного матча	Billy Lynn's Long Halftime Walk
415	Крэйг Зобел	90	6.0	6322	2012	['Энн Дауд', 'Мэтт Сервитто']	Эксперимент «Повиновение»	Compliance
416	Дито Монтиель	90	6.0	4245	2016	['Шайа ЛаБаф', 'Джай Кортни']	Война	Man Down
417	Грегори Джейкобс	115	5.996	16486	2015	['Ченнинг Татум', 'Джо Манганьелло']	Супер Майк XXL	Magic Mike XXL
418	Джеймс Кокс	88	5.9879999999999995	1746	2012	['Райан Филипп', 'Анна Пэкуин']	Простые истины	Straight A's
419	Ридли Скотт	122	5.984	53969	2017	['Майкл Фассбендер', 'Кэтрин Уотерстон']	Чужой: Завет	Alien: Covenant
420	Николас Виндинг Рефн	90	5.976	13258	2013	['Райан Гослинг', 'Кристин Скотт Томас']	Только Бог простит	Only God Forgives
421	Луис Прието	95	5.976	3945	2017	['Холли Берри', 'Сэйдж Корреа']	Похищение	Kidnap
422	Джастин Закэм	90	5.968999999999999	21334	2013	['Роберт Де Ниро', 'Дайан Китон']	Большая свадьба	The Big Wedding
423	Марк Абрахам	123	5.962000000000001	932	2015	['Том Хиддлстон', 'Элизабет Олсен']	Я видел свет	I Saw the Light
424	Джо Сванберг	90	5.955	7373	2013	['Оливия Уайлд', 'Джейк Джонсон']	Собутыльники	Drinking Buddies
425	Джон Эрик Даудл	0	5.9510000000000005	17653	2014	['Пердита Викс', 'Бен Фельдман']	Париж: Город мёртвых	As Above
426	Сарик Андреасян	91	5.946000000000001	25998	2014	['Хейден Кристенсен', 'Эдриан Броуди']	Ограбление по-американски	American Heist
427	Николас Столлер	97	5.945	50999	2014	['Сет Роген', 'Роуз Бирн']	Соседи. На тропе войны	Neighbors
428	Ли Дэниелс	101	5.945	9574	2012	['Мэттью МакКонахи', 'Зак Эфрон']	Газетчик	The Paperboy
429	Трей Эдвард Шульц	91	5.945	7759	2017	['Джоэл Эдгертон', 'Кристофер Эбботт']	Оно приходит ночью	It Comes at Night
430	Брайан Бакли	100	5.942	1154	2015	['Мелисса Рауш', 'Гэри Коул']	Бронза	The Bronze
431	Джон Ридли	116	5.933	1283	2013	['Андре Бенджамин', 'Хейли Этвелл']	Джими Хендрикс	Jimi: All Is by My Side
432	Джеймс ДеМонако	85	5.932	46493	2013	['Итан Хоук', 'Лина Хиди']	Судная ночь	The Purge
433	Дэвид Лоури	90	5.932	2210	2013	['Кейси Аффлек', 'Руни Мара']	В бегах	Ain't Them Bodies Saints
434	Ана Лили Амирпур	118	5.9270000000000005	2200	2016	['Сьюки Уотерхаус', 'Джейсон Момоа']	Плохая партия	The Bad Batch
435	Тимур Бекмамбетов	105	5.925	51492	2012	['Бенджамин Уокер', 'Доминик Купер']	Президент Линкольн: Охотник на вампиров	Abraham Lincoln: Vampire Hunter
436	Нэйт Паркер	120	5.917999999999999	1526	2016	['Нэйт Паркер', 'Арми Хаммер']	Рождение нации	The Birth of a Nation
437	Сет МакФарлейн	125	5.914	47650	2015	['Марк Уолберг', 'Сет МакФарлейн']	Третий лишний 2	Ted 2
438	Джонатан Левин	101	5.912999999999999	6495	2015	['Джозеф Гордон-Левитт', 'Сет Роген']	Рождество	The Night Before
439	Джон Слэттери	88	5.912000000000001	767	2014	['Филип Сеймур Хоффман', 'Ричард Дженкинс']	Божий карман	God's Pocket
440	Кортни Хант	93	5.907	2804	2015	['Киану Ривз', 'Рене Зеллвегер']	Только правда	The Whole Truth
441	Келли Райхардт	112	5.9	874	2013	['Джесси Айзенберг', 'Дакота Фаннинг']	Ночные движения	Night Moves
442	Джиллиан Робеспьер	84	5.9	682	2014	['Дженни Слейт', 'Пол Бриганти']	Свой ребёнок	Obvious Child
443	Акива Шаффер	102	5.895	27455	2012	['Бен Стиллер', 'Винс Вон']	Дружинники	The Watch
444	Кимберли Пирс	100	5.893	65967	2013	['Хлоя Грейс Морец', 'Джулианна Мур']	Телекинез	Carrie
445	Джон Кассар	90	5.893	1224	2015	['Esther Purves-Smith', 'Кифер Сазерленд']	Заброшенный	Forsaken
446	Джон Краули	96	5.893	1222	2013	['Эрик Бана', 'Ребекка Холл']	Замкнутая цепь	Closed Circuit
447	Кристофер Лэндон	93	5.892	12036	2015	['Тай Шеридан', 'Логан Миллер']	Скауты против зомби	Scouts Guide to the Zombie Apocalypse
448	Том Вон	99	5.8870000000000005	5620	2014	['Пирс Броснан', 'Сальма Хайек']	Как заниматься любовью по-английски	How to Make Love Like an Englishman
449	Логан Миллер	95	5.876	596	2013	['Дженьюэри Джонс', 'Эд Харрис']	Пресная вода	Sweetwater
450	Келли Райхардт	107	5.872000000000001	1251	2016	['Лора Дерн', 'Кристен Стюарт']	Несколько женщин	Certain Women
451	Том Гормикэн	94	5.871	28358	2014	['Зак Эфрон', 'Майлз Теллер']	Этот неловкий момент	That Awkward Moment
452	Марк Стивен Джонсон	91	5.869	8414	2013	['Джон Траволта', 'Роберт Де Ниро']	Сезон убийц	Killing Season
453	Дэвид А. Армстронг	88	5.867000000000001	634	2012	['Никки Рид', 'Форест Уитакер']	Пешка	Pawn
454	Саймон Уэст	95	5.864	18661	2012	['Николас Кейдж', 'Джош Лукас']	Медальон	Stolen
455	Лесли Хэдланд	101	5.864	4309	2015	['Джейсон Судейкис', 'Элисон Бри']	Любовь без обязательств	Sleeping with Other People
456	Джеймс Франко	104	5.864	896	2013	['Скотт Хэйз', 'Тим Блейк Нельсон']	Дитя божье	Child of God
457	Кэт Койро	91	5.861000000000001	3801	2013	['Джастин Лонг', 'Эван Рэйчел Вуд']	Дело в тебе	A Case of You
458	Анна Боден	108	5.861000000000001	1090	2014	['Бен Мендельсон', 'Райан Рейнольдс']	Прогулка по Миссисипи	Mississippi Grind
459	Райан Гослинг	95	5.859	5321	2014	['Кристина Хендрикс', 'Йен де Кестекер']	Как поймать монстра	Lost River
460	Акан Сатаев	95	5.859	1050	2014	['Каллэн МакОлифф', 'Baju Nakani']	Хакер	Hacker
461	Пако Кабесас	95	5.856	7069	2015	['Сэм Рокуэлл', 'Анна Кендрик']	Мой парень – киллер	Mr. Right
462	Хелен Хант	93	5.856	526	2014	['Хелен Хант', 'Брентон Туэйтс']	Поездка	Ride
463	Дэкс Шепард	100	5.851	2497	2017	['Майкл Пенья', 'Дэкс Шепард']	Калифорнийский дорожный патруль	CHIPS
464	Йонас Окерлунд	92	5.85	834	2012	['Мэтт Лукас', 'Билли Кристал']	Безвыходная ситуация	Small Apartments
465	Синдзи Арамаки	100	5.847	753	2017	['Каспер Ван Дин', 'Дина Мейер']	Звёздный десант: Предатель Марса	Starship Troopers: Traitor of Mars
466	Элизабет Аллен	90	5.846	1987	2015	['Ник Джонас', 'Кики Харрис']	Осторожнее с желаниями	Careful What You Wish For
467	Пьер Морель	116	5.845	7055	2015	['Шон Пенн', 'Хавьер Бардем']	Ганмен	The Gunman
468	Джеймс Рольф	115	5.843	1163	2014	['Джеймс Рольф', 'Джереми Суарес']	Злостный видеоигровой задрот: Кино	Angry Video Game Nerd: The Movie
469	Барри Левинсон	107	5.8420000000000005	2704	2014	['Аль Пачино', 'Грета Гервиг']	Унижение	The Humbling
470	Грег Тирнан	89	5.84	43263	2016	['Сет Роген', 'Кристен Уиг']	Полный расколбас	Sausage Party
471	Терренс Малик	112	5.8389999999999995	7669	2012	['Бен Аффлек', 'Ольга Куриленко']	К чуду	To the Wonder
472	Рамин Бахрани	105	5.834	1476	2012	['Деннис Куэйд', 'Зак Эфрон']	Любой ценой	At Any Price
473	Джастин Диллард	89	5.834	727	2016	['Джейкоб Латимор', 'Сейшелл Гэбриел']	Ловкость	Sleight
474	Мэтт Шекман	93	5.832999999999999	975	2014	['Лиам Хемсворт', 'Тереза Палмер']	На краю	Cut Bank
475	Эухенио Мира	90	5.829	2016	2012	['Элайджа Вуд', 'Джон Кьюсак']	Торжественный финал	Grand Piano
476	Basel Owies	90	5.827999999999999	650	2014	['Скотт Гленн', 'Крис Кой']	Цирюльник	The Barber
477	Джейсон Стоун	108	5.827000000000001	1442	2013	['Сьюзен Сарандон', 'Джил Беллоуз']	Призвание	The Calling
478	Дэвид Уэйн	98	5.8229999999999995	10391	2012	['Пол Радд', 'Дженнифер Энистон']	Жажда странствий	Wanderlust
479	Эрни Барбараш	103	5.818	519	2014	['Майкл Джей Уайт', 'Нил МакДонаф']	Восхождение Сокола	Falcon Rising
480	Джон Хаддлс	107	5.816	32600	2013	['Софи Лоу', 'Джеймс Д’Арси']	Философы: Урок выживания	After the Dark
481	Дэвид М. Розенталь	116	5.813	1342	2013	['Сэм Рокуэлл', 'Джеффри Райт']	Единственный выстрел	A Single Shot
482	Лэйк Белл	93	5.811	1204	2013	['Лэйк Белл', 'Роб Кордри']	За кадром...	In a World...
483	Марк Уотерс	92	5.807	13186	2016	['Билли Боб Торнтон', 'Кэти Бейтс']	Плохой Санта 2	Bad Santa 2
484	Крис Рок	102	5.8020000000000005	1955	2014	['Крис Рок', 'Розарио Доусон']	Пятёрка лидеров	Top Five
485	Лев Л. Спиро	90	5.797000000000001	1890	2016	['Алан Ричсон', 'Дэрин Брукс']	Штат Блу Маунтин: Восстание Тадлэнда	Blue Mountain State: The Rise of Thadland
486	Патрик Брайс	77	5.797000000000001	663	2014	['Патрик Брайс', 'Марк Дюпласс']	Ублюдок	Creep
487	Софи Бартез	118	5.795	1554	2014	['Эзра Миллер', 'Миа Васиковска']	Госпожа Бовари	Madame Bovary
488	Джозеф Рубин	85	5.794	1516	2012	['Мишель Монахэн', 'Майкл Китон']	Пентхаус с видом на север	Penthouse North
489	Грег МакЛин	88	5.787000000000001	7558	2016	['Джон Галлахер мл.', 'Тони Голдуин']	Эксперимент «Офис»	The Belko Experiment
490	Габе Ибаньес	110	5.784	19296	2014	['Антонио Бандерас', 'Дилан МакДермотт']	Страховщик	Autómata
491	Мигель Анхель Вивас	112	5.776	4418	2015	['Мэттью Фокс', 'Джеффри Донован']	Вымирание	Extinction
492	Анджелина Джоли	122	5.771	8060	2015	['Брэд Питт', 'Анджелина Джоли']	Лазурный берег	By the Sea
493	Роман Коппола	86	5.766	2362	2012	['Чарли Шин', 'Джейсон Шварцман']	Умопомрачительные фантазии Чарли Свона-третьего	A Glimpse Inside the Mind of Charles Swan III
494	Джей Гэммилл	80	5.763999999999999	696	2012	['Джесс Вейкслер', 'Джесси Айзенберг']	Бесплатные образцы	Free Samples
495	Сузанна Фогель	93	5.761	1281	2014	['Гиллиан Джейкобс', 'Лейтон Мистер']	Партнеры по жизни	Life Partners
496	Тай Уэст	95	5.761	1280	2013	['Джо Сванберг', 'Эй Джей Боуэн']	Таинство	The Sacrament
497	Эдуардо Родригез	102	5.751	1073	2012	['Скотт Эдкинс', 'Кристиан Слэйтер']	Гринго	El Gringo
498	Дэвид Кепп	107	5.746	22753	2015	['Джонни Депп', 'Гвинет Пэлтроу']	Мордекай	Mortdecai
499	Кэт Кэндлер	99	5.742999999999999	2174	2014	['Аарон Пол', 'Джульетт Льюис']	Хулиган	Hellion
500	Брайан ДеКьюбелис	113	5.742000000000001	1338	2015	['Эдриан Броуди', 'Ивонн Страховски']	Манхэттенская ночь	Manhattan Night
501	Экачай Уэкронгтам	96	5.742000000000001	1006	2014	['Дольф Лундгрен', 'Тони Джа']	Работорговля	Skin Trade
502	Дэвид Кроненберг	107	5.739	9357	2014	['Джулианна Мур', 'Миа Васиковска']	Звездная карта	Maps to the Stars
503	Чарльз Стоун III	94	5.7379999999999995	751	2015	['Виола Дэвис', 'Дженнифер Лопез']	Лила и Ева	Lila & Eve
504	Крэйг Джонсон	94	5.734	1318	2017	['Вуди Харрельсон', 'Лора Дерн']	Уилсон	Wilson
505	Джон Р. Леонетти	95	5.732	25776	2014	['Аннабелль Уоллис', 'Уорд Хортон']	Проклятие Аннабель	Annabelle
506	Бабак Наджафи	100	5.732	22547	2015	['Джерард Батлер', 'Аарон Экхарт']	Падение Лондона	London Has Fallen
507	Джонатан Глейзер	108	5.732	18776	2013	['Скарлетт Йоханссон', 'Джереми МакУильямс']	Побудь в моей шкуре	Under the Skin
508	Роберт Родригес	108	5.728	28061	2013	['Дэнни Трехо', 'Мишель Родригес']	Мачете убивает	Machete Kills
509	Висенте Аморим	0	5.728	1804	2014	['Бэзил Хоффман', 'Эмили Мортимер']	Рио, я люблю тебя	Rio
510	Сет Гордон	116	5.726	23839	2017	['Дуэйн Джонсон', 'Зак Эфрон']	Спасатели Малибу	Baywatch
511	Росс Кац	92	5.724	607	2014	['Роуз Бирн', 'Ник Кролл']	Взрослые новички	Adult Beginners
512	Ричард Бейтс мл.	90	5.718	740	2014	['Мэттью Грей Гублер', 'Кэт Деннингс']	Пригородная готика	Suburban Gothic
513	Дениз Ди Нови	100	5.7170000000000005	4848	2017	['Розарио Доусон', 'Кэтрин Хайгл']	Наваждение	Unforgettable
514	Иэн Софтли	81	5.71	1725	2014	['Джулианна Хаф', 'Тедди Сирс']	Кривая линия	Curve
515	Мора Стивенс	103	5.707999999999999	773	2015	['Патрик Уилсон', 'Лина Хиди']	Молния	Zipper
516	Джеймс ДеМонако	109	5.705	16304	2016	['Фрэнк Грилло', 'Элизабет Митчелл']	Судная ночь 3	The Purge: Election Year
517	Брайан А Миллер	97	5.704	610	2012	['Стивен Дорфф', 'Доминик Пёрселл']	Офицер ранен	Officer Down
518	Крис МакКой	86	5.702999999999999	1486	2016	['Зои Дойч', 'Николас Браун']	Хорошие дети	Good Kids
519	Стив Пинк	100	5.702999999999999	1443	2014	['Кевин Харт', 'Майкл Или']	Что случилось прошлой ночью	About Last Night
520	Этан Коэн	100	5.696000000000001	10122	2014	['Уилл Феррелл', 'Кевин Харт']	Крепись!	Get Hard
521	Анна Ферстер	92	5.691	17211	2016	['Кейт Бекинсейл', 'Тео Джеймс']	Другой мир: Войны крови	Underworld: Blood Wars
522	Роксанна Бенжамин	89	5.689	2557	2015	['Чад Виллелла', 'Мэттью Беттинелли']	Монстры Юга	Southbound
523	Эллиотт Лестер	94	5.686	6931	2016	['Арнольд Шварценеггер', 'Мэгги Грэйс']	Последствия	Aftermath
524	Це Чун	90	5.682	1119	2013	['Элис Ив', 'Урсула Паркер']	Взгляд зимы	Cold Comes the Night
525	Роджер Дональдсон	108	5.675	10973	2014	['Пирс Броснан', 'Люк Брейси']	Человек ноября	The November Man
526	Люк Скотт	92	5.6739999999999995	10678	2016	['Кейт Мара', 'Аня Тейлор-Джой']	Морган	Morgan
527	Жан-Батист Леонетти	92	5.669	4005	2014	['Майкл Дуглас', 'Джереми Ирвин']	Игра на выживание	Beyond the Reach
528	Тристан Паттерсон	95	5.666	1442	2014	['Джим Стёрджесс', 'Изабель Лукас']	Джентльмен грабитель	Electric Slide
529	RZA	96	5.662000000000001	8373	2012	['RZA', 'Рассел Кроу']	Железный кулак	The Man with the Iron Fists
530	Гэвин О’Коннор	98	5.662000000000001	6366	2016	['Натали Портман', 'Джоэл Эдгертон']	Джейн берет ружье	Jane Got a Gun
531	Крэйг Мосс	91	5.66	786	2013	['Дэнни Трехо', 'Дэнни Гловер']	Крутые чуваки (видео)	Bad Ass 2: Bad Asses
532	Джо Линч	86	5.657	1492	2012	['Райан Квантен', 'Стив Зан']	Рыцари королевства Крутизны	Knights of Badassdom
533	Дерек Ли	86	5.648	1578	2013	['Дерек Ли', 'Клифф Проуз']	Пораженный	Afflicted
534	София Коппола	87	5.647	27700	2013	['Израэль Бруссар', 'Кэти Чанг']	Элитное общество	The Bling Ring
535	Лесли Хэдланд	87	5.645	20562	2012	['Кирстен Данст', 'Айла Фишер']	Холостячки	Bachelorette
536	Лайам О’Доннелл	105	5.642	560	2017	['Фрэнк Грилло', 'Бояна Новакович']	Скайлайн 2	Beyond Skyline
537	Дэвид Эйр	109	5.638999999999999	19692	2013	['Арнольд Шварценеггер', 'Сэм Уортингтон']	Саботаж	Sabotage
538	Джейсон Мур	118	5.638999999999999	7014	2015	['Эми Полер', 'Тина Фей']	Сестры	Sisters
539	Оз Перкинс	93	5.638999999999999	783	2015	['Эмма Робертс', 'Кирнан Шипка']	Февраль	February
540	Джадд Апатоу	124	5.635	22699	2015	['Эми Шумер', 'Билл Хейдер']	Девушка без комплексов	Trainwreck
541	Киран Дарси-Смит	110	5.632999999999999	1867	2015	['Вуди Харрельсон', 'Лиам Хемсворт']	Дуэль	The Duel
542	Энтони ДиБлази	87	5.63	1095	2014	['Джулиана Харкви', 'Джошуа Микель']	Последняя смена	Last Shift
543	Дэвид Баррет	93	5.627999999999999	4368	2012	['Джош Дюамель', 'Розарио Доусон']	Клин клином (видео)	Fire with Fire
544	Джейк Зиманский	98	5.627000000000001	17689	2016	['Зак Эфрон', 'Адам Дивайн']	Свадебный угар	Mike and Dave Need Wedding Dates
545	Каспер Барфоэд	89	5.624	2109	2012	['Джон Кьюсак', 'Малин Акерман']	Цифровая радиостанция	The Numbers Station
546	Стью Зичерман	88	5.624	1262	2013	['Адам Скотт', 'Ричард Дженкинс']	Взрослые дети развода	A.C.O.D.
547	Джеми Трэвис	0	5.622000000000001	2112	2012	['Лорен Миллер', 'Эри Грейнор']	Если хочешь хорошо провести время, звони…	For a Good Time
548	Александр Бах	96	5.615	27845	2015	['Руперт Френд', 'Ханна Уэр']	Хитмэн: Агент 47	Hitman: Agent 47
549	Патрик Брайс	79	5.605	1784	2015	['Адам Скотт', 'Тейлор Шиллинг']	Ночевка	The Overnight
550	Кристофер Нельсон	91	5.603	1000	2013	['Николас Браун', 'Хантер Коуп']	Мой друг – гей	Date and Switch
551	Том Элкинс	101	5.602	7038	2012	['Эбигейл Спенсер', 'Эмили Элин Линд']	Призраки в Коннектикуте 2: Тени прошлого	The Haunting in Connecticut 2: Ghosts of Georgia
